#{"t_start": 1765431048.1975052, "env_id": "group5-env-v0"}
r,l,t
3.841986,10,180.818331
0.90286,6,181.056984
-0.18232,3,181.187341
-0.998263,2,181.256556
2.935625,8,181.57395
0.737768,4,181.733104
0.065337,4,181.882536
2.057296,8,182.190166
-0.886446,2,182.25875
-0.280743,4,182.417445
-0.885133,2,182.51627
-0.624917,4,182.687215
1.725164,7,182.960181
5.715643,14,183.585505
-0.484859,3,183.717026
0.732576,4,183.871026
-0.713065,2,183.940765
9.308769,19,184.739897
4.09488,14,185.310256
10.190596,19,186.252811
-0.348018,3,186.360378
-0.731187,2,186.450502
-0.471661,3,186.576971
0.981388,5,186.821964
1.210438,6,187.057514
0.826443,8,187.39529
-0.643071,2,187.472894
2.853683,9,187.871885
1.052609,7,188.17002
1.195767,7,188.50017
10.201992,17,189.216637
-0.857859,2,189.291063
-0.891481,2,189.363128
-0.202124,3,189.482555
1.131478,8,189.755646
1.7811,11,190.180761
2.76029,9,190.529169
0.102189,5,190.71812
10.887994,18,191.320569
-0.433498,4,191.477796
2.065636,9,191.86682
0.504798,6,192.093024
-0.588427,2,192.180012
-0.331607,3,192.282284
1.648481,10,192.644051
10.479957,21,193.375253
-0.700689,2,193.456137
-0.0614,3,193.561419
-0.275166,4,193.701268
0.145972,5,193.891562
-0.698582,2,193.986296
1.782028,8,194.324371
0.618752,5,194.496861
0.500314,6,194.75549
-0.043316,4,194.932539
0.635517,5,195.158549
9.538778,24,196.098009
-0.089471,3,196.259429
0.189773,4,196.464599
0.961007,8,196.791533
-0.475346,3,196.932948
-1.049501,1,196.980617
-0.858615,2,197.065653
1.834796,11,197.65356
2.367315,8,198.010918
0.466474,5,198.175796
1.648109,7,198.443863
5.038449,13,198.939567
-0.782745,3,199.069628
9.992079,21,199.945205
-0.713022,2,200.057294
4.452836,14,200.586586
1.88547,7,200.844301
-0.324048,3,200.985439
0.714187,5,201.240926
-0.85286,2,201.321184
6.100327,15,201.843331
5.379481,16,202.459724
-1.168951,2,202.554023
1.311786,6,202.836927
3.50543,14,203.412665
-1.01751,2,203.517317
-0.735231,2,203.617033
0.938158,8,203.952472
5.104703,15,204.58006
-0.698485,2,204.668144
-1.019505,2,204.75028
-0.384481,3,204.886965
-1.214564,1,204.937062
-0.685962,3,205.067108
-0.324994,3,205.202084
4.813679,15,205.754796
-0.683409,3,205.88513
-0.046347,6,206.13815
0.912045,6,206.378811
1.639634,11,206.800106
1.056259,6,207.004276
0.011214,5,207.204448
0.290434,6,207.399512
-1.208389,1,207.436172
0.395712,7,207.678724
0.541513,7,207.968339
6.316226,18,208.762662
9.683898,23,209.583019
-1.358956,1,209.623849
10.461424,22,213.814386
-1.002038,2,213.90917
0.097357,6,214.135678
-1.357846,1,214.185375
-0.7176,2,214.259618
-1.057163,2,214.335685
6.100539,16,214.82333
2.323081,8,215.102929
-1.360767,1,215.149976
3.182882,12,215.656536
-0.700198,2,215.729236
-0.126058,5,215.917919
2.558706,8,216.195926
6.097062,17,216.842282
0.164329,6,217.130895
0.986101,5,217.356616
-0.676471,3,217.48526
-0.63337,4,217.659987
0.906773,8,217.994749
-0.252445,3,218.09941
0.007375,6,218.353054
1.873307,7,218.630947
1.401381,7,218.909508
-0.850301,2,219.004484
3.480725,14,219.68148
0.167035,4,219.837669
-0.652996,3,219.990984
0.432646,5,220.211642
-0.499709,3,220.339037
0.631817,5,220.551257
0.716594,5,220.768467
0.665209,8,221.145626
-0.8014,3,221.265284
1.431669,6,221.515729
-0.697917,2,221.582797
0.156623,4,221.748767
2.093763,10,222.087802
10.284414,23,223.005932
10.802547,18,223.639089
-0.953334,2,223.713289
0.406868,6,223.943288
0.719211,8,224.219567
9.631772,20,225.127631
-0.630975,3,225.228917
-0.701746,2,225.307113
-0.064858,6,225.538354
-0.357871,3,225.649065
0.488274,7,225.900505
0.183522,7,226.231602
1.333363,10,226.61736
2.668694,9,226.984648
-0.880781,2,227.073257
-0.862567,2,227.140837
-0.850999,2,227.206901
2.160146,10,227.635638
1.070683,8,227.971587
0.661109,8,228.367098
-0.351489,3,228.494294
0.630874,5,228.705719
0.220794,4,228.87415
2.778784,8,229.206192
2.059163,7,229.49588
11.296737,18,230.286007
-1.198475,1,230.332558
-0.326097,3,230.455797
-0.629614,2,230.563025
-0.177127,3,230.699242
-0.233407,3,230.846334
0.037236,4,231.009844
10.571047,23,231.910561
-0.85974,2,231.998948
1.040302,5,232.176421
2.643481,12,232.632868
0.659262,5,232.839357
1.186715,8,233.147398
2.103527,9,233.513386
-0.627531,4,233.688641
0.047339,4,233.875987
2.774088,11,234.334999
