#{"t_start": 1765424035.0336254, "env_id": "group5-env-v0"}
r,l,t
2.595008,8,180.627892
2.20941,9,180.894529
4.109503,13,181.221417
3.122125,9,181.484444
9.517075,21,182.028131
1.038594,5,182.186209
-1.159326,2,182.2552
2.622497,9,182.497893
-0.643139,3,182.592009
0.85846,5,182.752542
2.527879,11,183.08526
0.38923,4,183.201319
0.477408,5,183.367758
2.373651,8,183.618363
0.471412,5,183.767967
-0.708086,2,183.831493
0.855924,5,183.970082
9.907702,22,184.525829
8.50779,22,185.062167
-0.856728,2,185.111703
0.991778,5,185.230314
0.144965,5,185.374052
-0.757518,2,185.431095
0.639468,6,185.580018
-0.723307,2,185.628218
-0.887472,2,185.685359
4.282203,10,185.956595
-0.176702,3,186.037127
3.0901,9,186.306454
4.78966,11,186.624882
-0.180052,3,186.709398
10.121021,17,187.121848
-0.575908,2,187.166626
1.983816,9,187.401836
-1.356982,1,187.430049
-1.164163,2,187.480677
9.745586,19,188.061375
-0.35568,3,188.129979
0.099355,6,188.307116
-0.490517,3,188.386191
0.461214,5,188.529727
0.557304,4,188.635381
0.873961,5,188.74869
-0.332633,3,188.828403
0.656072,6,188.962005
-1.000301,2,189.015633
-1.363773,1,189.040616
10.345053,20,189.556281
0.425092,7,189.755202
-0.854505,2,189.813802
3.488855,11,190.092115
2.337025,9,190.355479
9.622127,19,190.812143
0.6532,8,191.065595
12.072869,17,191.495704
0.255268,6,191.682871
0.25519,7,191.879287
1.491616,7,192.067482
-0.729296,2,192.120074
0.15423,6,192.316579
3.30879,9,192.591542
-0.010335,6,192.746076
3.517588,13,193.086802
0.286209,5,193.224495
1.211782,5,193.362951
2.313796,9,193.590632
1.362367,6,193.748616
-0.354265,4,193.844622
0.882372,8,194.05528
2.995891,12,194.379876
5.695424,17,194.820623
-1.015367,1,194.857613
1.18863,5,194.992634
2.089556,11,195.327947
1.804835,9,195.605896
-1.210644,1,195.635616
1.19491,6,195.80782
-0.703249,2,195.868202
2.113803,10,196.128591
-0.080416,4,196.241053
9.030289,19,196.817992
4.220171,11,197.082727
8.613325,23,197.696501
-0.582017,2,197.750504
0.36494,4,197.87057
2.807205,8,198.085922
-0.856255,2,198.139368
5.242079,15,198.519825
0.065216,4,198.6103
9.149811,22,199.163501
-0.237271,3,199.244133
-0.605841,4,199.378346
0.909904,5,199.499502
2.418693,10,199.741395
0.393868,7,199.946651
-0.848512,2,199.994257
11.094753,22,200.502307
-0.671615,3,200.595568
0.412367,6,200.785909
0.850085,5,200.933946
5.572955,17,201.361919
-0.003913,6,201.511042
9.732835,22,202.119912
9.552579,20,202.693862
4.787382,13,203.047266
-0.274043,5,203.190492
2.335969,10,203.444154
9.725929,20,203.963673
-0.740407,2,204.01331
0.125515,5,204.158864
-0.729059,2,204.213499
10.903653,21,204.733295
-0.738151,2,204.78134
3.30985,12,205.106664
2.543734,7,205.320692
0.636572,7,205.503473
-0.242467,4,205.621087
3.290653,8,205.821298
2.058021,7,205.985602
-0.677939,3,206.063209
3.466803,12,206.387097
3.053782,9,206.622797
3.45691,9,206.860709
10.350397,21,207.334906
-0.31978,3,207.416244
0.102496,5,207.549489
-0.307827,4,207.666101
2.475975,9,207.912084
4.546736,12,208.209017
2.052874,7,208.396549
-0.189533,3,208.476888
0.869951,5,208.632504
0.283826,4,208.756256
1.72315,6,208.914416
-0.730399,2,208.962416
-1.208031,1,208.990459
-0.191395,3,209.077028
4.04792,9,209.302316
3.176699,9,209.522167
4.801242,12,209.811164
1.577697,7,210.022464
-0.851678,2,210.078483
3.751743,13,210.443757
4.639033,11,210.710536
-0.648567,3,210.7823
-0.630668,2,210.834861
1.315434,8,211.066456
0.155092,4,211.185976
-0.387961,3,211.27403
-0.825199,3,211.34956
7.700662,19,211.893772
1.683239,6,212.045828
1.931786,8,212.262387
2.639976,7,212.470511
-0.328417,3,212.554029
-0.796288,4,212.658565
0.078527,3,212.741075
10.67486,18,213.219053
0.365825,4,213.347418
7.350476,18,213.8488
6.242729,15,214.290327
-1.277794,2,214.349407
-0.233109,3,214.427923
2.436672,8,214.668853
2.810899,10,214.972687
1.539391,6,215.131757
1.202284,6,215.293275
1.954496,7,215.473442
1.961269,7,215.687001
9.2078,21,216.268954
1.381887,6,216.427711
-0.337009,3,216.503703
1.798334,7,216.711517
0.360476,7,216.885908
-0.857946,2,216.94426
1.355173,8,217.153048
0.107671,6,217.326113
4.836225,16,217.733834
-0.137475,4,217.861371
0.865583,6,218.052462
-0.907948,2,218.117635
4.46951,10,218.437307
4.853088,17,218.886437
-0.560581,2,218.946786
-0.330434,3,219.026294
0.367079,4,219.130146
5.24767,16,219.534332
-0.881971,2,219.598422
-1.01845,2,219.652021
1.117011,6,219.832601
0.67045,8,220.019892
-1.016522,1,220.045893
3.434824,9,220.271916
